id,class,count,%,timePoint,year,pointCount
-1,None,,,1yr,Y1,1750
,Review,,,1yr,Y1,1750
1,Unknown,,,1yr,Y1,1750
2,Acropora spp.,,,1yr,Y1,1750
3,Acropora cervicornis,35,1.829587036,1yr,Y1,1750
4,Acropora palmata,,,1yr,Y1,1750
5,Porites spp.,,,1yr,Y1,1750
6,Porites porites,,,1yr,Y1,1750
7,Porites furcata,,,1yr,Y1,1750
8,Porites divaricata,,,1yr,Y1,1750
9,Porites astreoides,1,0.052273915,1yr,Y1,1750
10,Oculina spp.,,,1yr,Y1,1750
11,Oculina robusta,,,1yr,Y1,1750
12,Oculina varicosa,,,1yr,Y1,1750
13,Oculina diffusa,,,1yr,Y1,1750
14,Madracis spp.,,,1yr,Y1,1750
15,Madracis auretenra,,,1yr,Y1,1750
16,Madracis formosa,,,1yr,Y1,1750
17,Madracis decactis,,,1yr,Y1,1750
18,Dendrogyra cylindrus,,,1yr,Y1,1750
19,Siderastrea spp.,,,1yr,Y1,1750
20,Siderastrea siderea,3,0.156821746,1yr,Y1,1750
21,Siderastrea radians,,,1yr,Y1,1750
22,Stephanocoenia intersepta,,,1yr,Y1,1750
23,Montastraea cavernosa,,,1yr,Y1,1750
24,Orbicella spp.,,,1yr,Y1,1750
25,Orbicella annularis,,,1yr,Y1,1750
26,Orbicella faveolata,1,0.052273915,1yr,Y1,1750
27,Orbicella franksi,,,1yr,Y1,1750
28,Favia fragum,,,1yr,Y1,1750
29,Dichocoenia stokesii,,,1yr,Y1,1750
30,Solenastraea bournoni,,,1yr,Y1,1750
31,Solenastraea hyades,,,1yr,Y1,1750
32,Colpophyllia natans,,,1yr,Y1,1750
33,Pseudodiploria spp.,,,1yr,Y1,1750
34,Pseudodiploria strigosa,,,1yr,Y1,1750
35,Pseudodiploria clivosa,,,1yr,Y1,1750
36,Diploria labyrinthiformis,,,1yr,Y1,1750
37,Manicina areolata,,,1yr,Y1,1750
38,Meandrina spp.,,,1yr,Y1,1750
39,Meandrina meandrites,,,1yr,Y1,1750
40,Meandrina danae,,,1yr,Y1,1750
41,Meandrina jacksoni,,,1yr,Y1,1750
42,Helioseris cucullata,,,1yr,Y1,1750
43,Agaricia spp.,,,1yr,Y1,1750
44,Agaricia fragilis,,,1yr,Y1,1750
45,Agaricia lamarcki,,,1yr,Y1,1750
46, Agaricia agaricites,,,1yr,Y1,1750
47,Mycetophyllia spp.,,,1yr,Y1,1750
48,Mycetophyllia lamarckiana,,,1yr,Y1,1750
49,Mycetophyllia aliciae,,,1yr,Y1,1750
50,Mycetophyllia ferox,,,1yr,Y1,1750
51,Mycetophyllia reesi,,,1yr,Y1,1750
52,Isophyllia spp.,,,1yr,Y1,1750
53,Isophyllia sinuosa,,,1yr,Y1,1750
54,Isophyllia rigida,,,1yr,Y1,1750
55,Scolymia spp.,,,1yr,Y1,1750
56,Scolymia cubensis,,,1yr,Y1,1750
57,Scolymia wellsi,,,1yr,Y1,1750
58,Mussa angulosa,,,1yr,Y1,1750
59,Eusmilia fastigiata,,,1yr,Y1,1750
60,Octocorallia,73,3.815995818,1yr,Y1,1750
61,Gorgonia ventalina,,,1yr,Y1,1750
62,Xestospongia muta,,,1yr,Y1,1750
63,Thalassia testudinum,,,1yr,Y1,1750
64,Halimeda,,,1yr,Y1,1750
65,Dictyota spp.,,,1yr,Y1,1750
66,Crustose coralline algae,,,1yr,Y1,1750
67,Porifera,92,4.809200209,1yr,Y1,1750
68,Cnidaria,,,1yr,Y1,1750
69,Red algae,,,1yr,Y1,1750
70,Green algae,,,1yr,Y1,1750
71,Brown algae,,,1yr,Y1,1750
72,Palythoa,93,4.861474124,1yr,Y1,1750
73,Rubble,827,43.23052797,1yr,Y1,1750
74,Turf algae,764,39.9372713,1yr,Y1,1750
75,Other,9,0.470465238,1yr,Y1,1750
76,Millepora spp.,15,0.78410873,1yr,Y1,1750